  PID TTY          TIME CMD
 1809 ?        00:00:00 kworker/2:1H
 1824 ?        00:00:00 gvfs-udisks2-vo
 1828 ?        00:00:00 udisksd
 1850 ?        00:00:00 gvfs-mtp-volume
 1854 ?        00:00:00 gvfs-afc-volume
 1861 ?        00:00:00 gvfs-gphoto2-vo
 1865 ?        00:00:00 gconfd-2
 1877 ?        00:00:00 gvfsd-trash
 1902 ?        00:00:00 sh
 1905 ?        00:00:00 initctl
 1912 ?        00:00:00 gvfsd-burn
 1938 ?        00:00:14 chrome
 1946 ?        00:00:00 cat
 1947 ?        00:00:00 cat
 1950 ?        00:00:00 chrome
 1951 ?        00:00:00 nacl_helper
 1954 ?        00:00:00 chrome
 2002 ?        00:00:00 chrome
 2107 ?        00:00:00 telepathy-indic
 2116 ?        00:00:00 mission-control
 2123 ?        00:00:00 chrome
 2147 ?        00:00:00 zeitgeist-daemo
 2153 ?        00:00:00 zeitgeist-fts
 2155 ?        00:00:00 zeitgeist-datah
 2168 ?        00:00:00 cat
 2292 ?        00:00:00 update-notifier
 2315 ?        00:00:03 chrome
 2327 ?        00:00:00 deja-dup-monito
 2344 ?        00:00:02 /usr/bin/termin
 2357 ?        00:00:00 gnome-pty-helpe
 2358 pts/0    00:00:00 bash
 2424 ?        00:00:00 chrome
 2442 ?        00:00:00 file-roller
 2455 ?        00:00:00 kworker/u8:0
 2565 pts/0    00:00:00 quash
 2592 ?        00:00:00 gvfsd-metadata
 2598 ?        00:00:05 sublime_text
 2612 ?        00:00:00 plugin_host
 2636 pts/0    00:00:00 ps
